Name,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
Fleet Battle School,4,3306,0,No,9+,EN,22179840, Strategy,11/05/2016,12/05/2016
Dinosaur Math Tower Defense,4,3306,0,No,4+,EN,24457216, Strategy. Education,26/10/2015,26/10/2015
World War 2: Battle of Berlin,4.5,48,0,Yes,9+,EN,45434880, Adventure. Strategy,17/11/2015,16/12/2015
Candy Mania Puzzle Deluxe\uff1aMatch and Pop 3 Candies for a Big Win,4,3306,0,No,4+,EN,35588096, Board. Strategy,25/10/2015,2/11/2015
Dungeon Rush,3,129,0,Yes,9+,EN,102849536, Role Playing. Strategy,4/11/2015,19/12/2016
Wars for the containers.,4.5,42,0,Yes,4+,EN. RU,65699840, Simulation. Entertainment. Strategy,2/11/2015,2/10/2017
Happy Bounce,4,3306,0,Yes,4+,EN,24706048, Strategy. Casual,7/02/2016,7/02/2016
Madagascar Versus Online -  New Multiplayer Match 3 Puzzle Game with Monster Matching Battle,4,3306,0,Yes,4+,EN,51074048, Strategy. Entertainment. Puzzle,22/10/2015,19/02/2016
Theseus Plus,5,9,0,No,9+,EN,75686912, Puzzle. Strategy,29/10/2015,3/11/2015
No Pause,4,3306,0,No,4+,EN,65596416, Strategy,30/10/2015,22/07/2016
Fantasy Archery: Giant Hunter,4,3306,0,Yes,9+,EN,98366464, Strategy. Entertainment. Action,21/11/2015,21/11/2015
Dawn of Monster Uprising in Mars Skies \u2013 Endless Star Flyer,4,3306,0,Yes,4+,EN,49651712, Entertainment. Role Playing. Strategy,17/10/2015,17/10/2015
Impossible Floral Bounce,4,3306,0,Yes,4+,EN,15713280, Strategy. Puzzle. Entertainment,17/11/2015,17/11/2015
Drapers - Merchant Trade Wars,4,3306,4.99,No,4+,EN,60318720, Strategy. Education. Board,27/01/2016,17/05/2019
Spread!,4,3306,0,Yes,4+,EN. DE,13511680, Strategy. Board,26/10/2015,23/01/2016
Happy Zombie Birds: Eat the Fatty Birdies,4,3306,0,Yes,4+,EN,24068096, Simulation. Strategy,1/11/2015,1/11/2015
Lemonade Hero,3,14,0,No,4+,EN,21541888, Strategy. Simulation,19/10/2015,19/10/2015
Destroy The Tanks!,4,3306,0,Yes,4+,EN,163663872, Strategy. Entertainment. Action,4/09/2016,28/09/2016
Little Minesweeper guy,5,12,0,Yes,4+,EN. FR,44187648, Puzzle. Education. Strategy,13/01/2016,13/04/2017
ColorTapApp,5,14,0,No,4+,EN,14283776, Strategy. Entertainment. Puzzle,25/10/2015,5/05/2016
Little 3 kingdoms - The Uprising,4.5,23,0,Yes,9+,EN,410138624, Adventure. Strategy,2/12/2015,11/04/2016
Z-Defense,4,3306,0,Yes,9+,EN,72986624, Strategy,18/06/2016,18/06/2016
War of Warship:Pacific War,3,1637,0,Yes,12+,EN,129966080, Role Playing. Strategy,6/01/2016,24/06/2019
Chess Clinic,4,3306,4.99,No,17+,EN,21258240,Education.  Strategy,20/10/2015,20/10/2015
HexJump - Create Yourself Level,4,3306,0.99,No,9+,EN. ZH,108193792, Entertainment. Puzzle. Strategy,17/12/2016,17/12/2016
Rogue Elephant,4,3306,0,No,4+,EN,27632640, Strategy. Action,12/01/2016,12/01/2016
Mini Chess (Quick Chess),4.5,157,0,No,4+,EN. IT,41309184, Strategy. Education. Board,15/12/2015,25/05/2018
USA Ambition,4,3306,0,No,4+,EN. JA,9470976, Strategy. Education,19/12/2015,19/12/2015
Whirly Blocks - jumping ball bounce game,4,3306,0,Yes,4+,EN,30983168, Strategy. Casual,25/10/2015,17/04/2017
QONQR: World in Play,4,33,0,Yes,9+,EN. DE. HU. IT. PL. PT. ES,172102656, Strategy. Simulation,16/03/2016,8/07/2019
Hidden Objects Of A Five Camping Tips,4,3306,0,Yes,4+,EN,27115520, Education. Strategy. Puzzle,26/10/2015,26/10/2015
Bible Quest Game,4,3306,0,Yes,4+,EN,172657664, Strategy,24/10/2015,1/12/2015
Number Linker Free - SoCrative Circle Link Puzzle Game app,4.5,699,0,No,4+,EN,7591936, Entertainment. Puzzle. Strategy,25/10/2015,25/10/2015
Drakenlords: CCG Card Duels,4.5,254,0,Yes,12+,EN,220795904, Strategy. Card. Entertainment,24/11/2016,5/07/2018
Color Pin,4,3306,0,No,4+,EN,91266048, Strategy. Action,17/11/2015,17/11/2015
Monster Bomb - Free,4,3306,0,No,4+,EN,20004864, Puzzle. Strategy,30/10/2015,19/08/2016
